1.857826,0.039147,0.100195
3.884619,0.498067,0.274047
5.88711,1.059986,0.257203
7.891465,1.576881,0.257807
9.914335,2.060779,0.232479
11.937652,2.542857,0.233691
13.941064,3.060528,0.299033
15.9213,3.695395,0.266374
17.963153,4.083878,0.250968
19.357176,5.470061,1.290494
19.030935,7.500747,1.881798
18.314800,10.283700,1.881848
17.858200,11.917000,1.907834
16.554441,12.871000,2.753955
14.409061,12.448411,-2.932981
12.391924,12.01612,-2.892141
10.377169,11.475233,-2.882524
8.365631,11.196176,-2.887367
6.363819,10.632103,-2.865609
4.371023,10.072282,-2.867564
2.367541,9.514145,-2.886785
0.378365,9.009077,-2.804207
-1.566726,8.401689,-2.804105
-3.467407,7.756927,-2.531211
-3.959780,5.805620,-1.521777
-3.630287,3.628342,-1.279492
-3.017139,1.67524,-1.186271
-1.989969,-0.094626,-0.763495
-0.005031,-0.456268,0.101365
