3.884618999999999822e+00,4.980670000000000375e-01,2.977305610445532547e-01,1.000000000000000000e+00
3.998010941187211120e+00,5.326202890611149154e-01,2.938763467992722145e-01,1.000000000000000000e+00
4.111677255550789667e+00,5.667920220582399748e-01,2.902323287561653919e-01,1.000000000000000000e+00
4.225599367305466814e+00,6.006014345479170347e-01,2.867966992086825040e-01,1.000000000000000000e+00
4.339758700665965030e+00,6.340677620866855824e-01,2.835677572883218422e-01,1.000000000000000000e+00
4.454136679847014335e+00,6.672102402310869929e-01,2.805439111816875886e-01,1.000000000000000000e+00
4.568714729063342972e+00,7.000481045376618638e-01,2.777236801336784855e-01,1.000000000000000000e+00
4.683474272529675630e+00,7.326005905629505710e-01,2.751056962620990753e-01,1.000000000000000000e+00
4.798396734460742330e+00,7.648869338634941561e-01,2.726887062070187939e-01,1.000000000000000000e+00
4.913463539071271313e+00,7.969263699958334390e-01,2.704715726363058903e-01,1.000000000000000000e+00
5.028656110575985494e+00,8.287381345165085733e-01,2.684532756269388254e-01,1.000000000000000000e+00
5.143955873189616668e+00,8.603414629820603787e-01,2.666329139399470916e-01,1.000000000000000000e+00
5.259344251126889525e+00,8.917555909490294530e-01,2.650097062051450236e-01,1.000000000000000000e+00
5.374802668602534084e+00,9.229997539739569490e-01,2.635829920302000251e-01,1.000000000000000000e+00
5.490312549831276812e+00,9.540931876133834644e-01,2.623522330470133279e-01,1.000000000000000000e+00
5.605855319027842398e+00,9.850551274238492638e-01,2.613170139068730080e-01,1.000000000000000000e+00
5.721412400406961751e+00,1.015904808961895167e+00,2.604770432343753717e-01,1.000000000000000000e+00
5.836965218183362225e+00,1.046661467784061772e+00,2.598321545486735884e-01,1.000000000000000000e+00
5.952495910596391937e+00,1.077343560567933123e+00,2.593407970702256704e-01,1.000000000000000000e+00
6.067998883217138761e+00,1.107956162426602331e+00,2.588097453688519844e-01,1.000000000000000000e+00
6.183478866627678983e+00,1.138493085648990322e+00,2.582145689984810533e-01,1.000000000000000000e+00
6.298940913348856085e+00,1.168947791343788234e+00,2.575552520440380078e-01,1.000000000000000000e+00
